trial,shared_buffers,work_mem,maintenance_work_mem,max_parallel_workers_per_gather,checkpoint_completion_target,random_page_cost,effective_cache_size,tps,latency average,number of transactions actually processed,number of failed transactions
0,4GB,40MB,192MB,7,0.7051461235739506,1.2909729556485983,20MB,6499.260187,4.924,194970.0,0.0
1,2GB,20MB,576MB,7,0.7915904608234229,1.1368209952651107,20MB,7316.238363,4.374,219356.0,0.0
2,8GB,4MB,576MB,9,0.7761534422933426,1.0293016342019152,20MB,7389.003305,4.331,221585.0,0.0
3,8GB,4MB,960MB,5,0.7462136138813817,1.2908753883293675,20MB,7638.880785,4.189,229095.0,0.0
4,2GB,60MB,64MB,9,0.9071843772879823,1.1070259980080768,8MB,7253.17756,4.412,217440.0,0.0
