blk_read_time,blk_write_time,checkpoints_req,checkpoints_timed,deadlocks,effective_cache_size,latency average,maintenance_work_mem,max_parallel_workers_per_gather,max_wal_size,number of failed transactions,number of transactions actually processed,random_page_cost,shared_buffers,temp_bytes,tps,trial,wal_buffers,work_mem
0.0,0.0,3650.0,160.0,0.0,10GB,14.208,32MB,4,4096MB,0.0,2695581.0,1.0,4GB,20040171520.0,4494.338489,0,64MB,2MB
0.0,0.0,3665.0,160.0,0.0,10GB,13.325,128MB,4,8192MB,0.0,2873394.0,1.0,2GB,20040171520.0,4790.924072,1,64MB,8MB
0.0,0.0,3679.0,160.0,0.0,14GB,13.338,256MB,4,8192MB,0.0,2870826.0,1.0,2GB,20040171520.0,4786.443778,2,128MB,2MB
0.0,0.0,3695.0,160.0,0.0,14GB,13.176,256MB,4,8192MB,0.0,2905839.0,1.0,4GB,20040171520.0,4844.858009,3,128MB,2MB
0.0,0.0,3723.0,160.0,0.0,18GB,13.401,128MB,6,4096MB,0.0,2857217.0,1.0,4GB,20040171520.0,4763.812691,4,64MB,14MB
0.0,0.0,3744.0,160.0,0.0,10GB,13.352,256MB,4,6144MB,0.0,2867367.0,1.0,4GB,20040171520.0,4780.81555,5,128MB,14MB
0.0,0.0,3759.0,160.0,0.0,18GB,13.455,128MB,2,8192MB,0.0,2845683.0,1.0,6GB,20040171520.0,4744.121162,6,64MB,2MB
0.0,0.0,3790.0,160.0,0.0,10GB,13.646,128MB,2,4096MB,0.0,2805821.0,1.0,6GB,20040171520.0,4678.192626,7,256MB,8MB
0.0,0.0,3845.0,160.0,0.0,10GB,13.683,32MB,2,2048MB,0.0,2798267.0,1.0,4GB,20040171520.0,4665.590013,8,128MB,8MB
0.0,0.0,3866.0,160.0,0.0,14GB,13.513,256MB,6,6144MB,0.0,2833230.0,1.0,4GB,20040171520.0,4723.891759,9,64MB,14MB
0.0,0.0,3887.0,160.0,0.0,14GB,13.254,256MB,4,6144MB,0.0,2888390.0,1.0,2GB,20040171520.0,4815.764982,10,256MB,20MB
0.0,0.0,3908.0,160.0,0.0,14GB,13.298,256MB,4,6144MB,0.0,2878571.0,1.0,2GB,20040171520.0,4799.503986,11,256MB,20MB
0.0,0.0,3924.0,160.0,0.0,14GB,13.281,256MB,4,8192MB,0.0,2882436.0,1.0,2GB,20040171520.0,4805.829234,12,256MB,20MB
0.0,0.0,3945.0,160.0,0.0,14GB,13.49,256MB,4,6144MB,0.0,2837887.0,1.0,2GB,20040171520.0,4731.65822,13,256MB,20MB
0.0,0.0,3961.0,160.0,0.0,14GB,13.762,256MB,4,8192MB,0.0,2782167.0,1.0,6GB,20040171520.0,4638.770627,14,128MB,8MB
0.0,0.0,3982.0,160.0,0.0,14GB,13.75,256MB,6,6144MB,0.0,2784232.0,1.0,4GB,20040171520.0,4642.167565,15,256MB,14MB
0.0,0.0,4046.0,160.0,0.0,14GB,13.741,32MB,4,2048MB,0.0,2785979.0,1.0,2GB,20040171520.0,4645.147582,16,128MB,2MB
