trial,shared_buffers,work_mem,max_parallel_workers_per_gather,checkpoint_completion_target,effective_cache_size,tps,latency average,number of transactions actually processed,number of failed transactions
86,8GB,48MB,2,0.8902049811067078,6144MB,7581.398325,4.221,151673.0,0.0
87,2GB,64MB,1,0.8439307798183509,6144MB,5283.722636,6.056,105715.0,0.0
88,2GB,40MB,7,0.8787498570979071,6144MB,9077.019174,3.525,181589.0,0.0
89,2GB,60MB,3,0.8630004472697936,6144MB,6958.220278,4.599,139163.0,0.0
90,2GB,36MB,5,0.8538209303000999,6144MB,4521.713967,7.077,90439.0,0.0
91,2GB,56MB,2,0.8971192523591616,6144MB,7800.170114,4.102,155991.0,0.0
92,2GB,56MB,2,0.8710287845099647,4096MB,5984.89477,5.347,119704.0,0.0
93,2GB,52MB,2,0.9138363632918585,6144MB,10329.024923,3.098,206584.0,0.0
94,2GB,52MB,2,0.9166423260220191,8192MB,8950.305571,3.575,178997.0,0.0
95,2GB,48MB,2,0.904985264616065,6144MB,7206.050628,4.441,144087.0,0.0
96,2GB,48MB,1,0.8242953914947408,6144MB,5521.376676,5.796,110450.0,0.0
97,4GB,52MB,3,0.8344002067253756,4096MB,9771.086557,3.275,195438.0,0.0
98,4GB,52MB,3,0.8831088245560442,4096MB,8502.985062,3.763,170106.0,0.0
99,4GB,44MB,3,0.9254595710446502,4096MB,6976.551148,4.587,139520.0,0.0
0,4GB,40MB,192MB,9,0.7454562418017752,1.0550213529560302,8MB,8413.776333,3.803,168366.0,0.0
1,2GB,40MB,192MB,3,0.7426310309218228,1.019515477895584,24MB,7623.760387,4.197,152512.0,0.0
2,2GB,8MB,704MB,5,0.8366775698358199,1.0554563366576581,24MB,7444.793445,4.298,148950.0,0.0
3,4GB,40MB,960MB,9,0.8356740207895621,1.0422772674924288,20MB,8293.691116,3.858,165943.0,0.0
4,4GB,16MB,64MB,11,0.7827245062131623,1.0190675050858071,8MB,9866.579319,3.243,197389.0,0.0
5,4GB,60MB,448MB,5,0.726972856748326,1.0094287557060202,16MB,10510.531901,3.045,210264.0,0.0
6,8GB,16MB,448MB,7,0.9009180192247785,1.0559710176658108,24MB,6489.749053,4.931,129852.0,0.0
7,8GB,24MB,64MB,3,0.7844037928509069,1.2828729111737558,8MB,7329.197732,4.366,146604.0,0.0
8,4GB,64MB,960MB,7,0.9270664714916634,1.0718685672000918,4MB,8604.865901,3.719,172139.0,0.0
9,4GB,44MB,832MB,11,0.7466296275999635,1.0122325424664291,16MB,10550.407809,3.033,211055.0,0.0
