blk_read_time,blk_write_time,checkpoints_req,checkpoints_timed,deadlocks,effective_cache_size,latency average,maintenance_work_mem,max_parallel_workers_per_gather,max_wal_size,number of failed transactions,number of transactions actually processed,random_page_cost,shared_buffers,temp_bytes,tps,trial,wal_buffers,work_mem
0.0,0.0,2843.0,74.0,0.0,8192MB,14.669,256MB,3,6144MB,0.0,2610576.0,1.0115042954465943,10GB,20040171520.0,4352.768278,59,256MB,2MB
0.0,0.0,2855.0,74.0,0.0,6144MB,14.452,128MB,3,6144MB,0.0,2649732.0,1.0308800413568795,10GB,20040171520.0,4418.025677,60,256MB,2MB
0.0,0.0,2866.0,74.0,0.0,8192MB,13.543,32MB,3,6144MB,0.0,2827333.0,1.008615049603144,10GB,20040171520.0,4714.060386,61,256MB,2MB
0.0,0.0,2877.0,74.0,0.0,8192MB,13.618,32MB,3,6144MB,0.0,2811618.0,1.0194324243801571,10GB,20040171520.0,4687.793853,62,256MB,2MB
0.0,0.0,2888.0,74.0,0.0,8192MB,13.512,32MB,3,6144MB,0.0,2833659.0,1.0042352540936152,10GB,20040171520.0,4724.760046,63,256MB,2MB
0.0,0.0,2899.0,74.0,0.0,6144MB,13.639,32MB,3,6144MB,0.0,2807429.0,1.0128787156243562,10GB,20040171520.0,4680.787285,64,256MB,2MB
0.0,0.0,2910.0,74.0,0.0,8192MB,13.563,32MB,3,6144MB,0.0,2823001.0,1.001128188408886,10GB,20040171520.0,4706.722178,65,256MB,2MB
0.0,0.0,2921.0,74.0,0.0,8192MB,13.507,32MB,3,6144MB,0.0,2834752.0,1.026800201518029,10GB,20040171520.0,4726.305955,66,256MB,2MB
0.0,0.0,2934.0,74.0,0.0,8192MB,14.697,256MB,3,6144MB,0.0,2605602.0,1.0263086439250182,10GB,20040171520.0,4344.257616,67,256MB,2MB
0.0,0.0,2951.0,74.0,0.0,8192MB,14.833,128MB,3,4096MB,0.0,2582050.0,1.0054767020994109,10GB,20040171520.0,4305.103327,68,256MB,2MB
