trial,shared_buffers,work_mem,max_parallel_workers_per_gather,checkpoint_completion_target,effective_cache_size,tps,latency average,number of transactions actually processed,number of failed transactions
128,16GB,16MB,5,0.7740447528367631,16384MB,4904.670699,6.524,441358.0,0.0
129,16GB,8MB,0,0.7944943455797896,12288MB,4878.147557,6.56,438929.0,0.0
130,8GB,48MB,0,0.8047734902311365,8192MB,4918.164938,6.506,442569.0,0.0
131,2GB,8MB,5,0.8156097033006264,8192MB,4917.174501,6.508,442481.0,0.0
132,2GB,8MB,3,0.8175028025213882,8192MB,4819.667045,6.639,433677.0,0.0
133,2GB,4MB,3,0.7457220076320487,8192MB,4959.846654,6.452,446286.0,0.0
134,2GB,4MB,3,0.724063892473882,8192MB,4986.122057,6.418,448663.0,0.0
135,2GB,4MB,3,0.7280825908304945,8192MB,4896.147553,6.536,440571.0,0.0
136,2GB,4MB,3,0.7094519494656563,8192MB,4933.958937,6.486,443961.0,0.0
137,2GB,12MB,3,0.7223609172397315,4096MB,4944.590701,6.472,444930.0,0.0
138,2GB,60MB,3,0.7529591624999153,8192MB,4854.305056,6.592,436792.0,0.0
139,2GB,4MB,3,0.7345697780082034,8192MB,4994.726974,6.407,449438.0,0.0
140,2GB,4MB,3,0.7352987317770312,8192MB,4898.518362,6.533,440721.0,0.0
141,2GB,4MB,3,0.7201439720673346,8192MB,4904.932304,6.524,441346.0,0.0
142,2GB,8MB,3,0.7496494152718636,8192MB,4926.912214,6.495,443327.0,0.0
143,2GB,8MB,3,0.7412937191269622,8192MB,4903.383268,6.526,441308.0,0.0
144,2GB,4MB,3,0.7609328920377866,8192MB,4887.373441,6.547,439723.0,0.0
145,2GB,40MB,2,0.7300739467730432,8192MB,4943.877972,6.473,444877.0,0.0
146,2GB,4MB,3,0.7671878594017427,8192MB,4943.146486,6.474,444807.0,0.0
147,2GB,8MB,3,0.7835589409906915,8192MB,4887.915668,6.547,439818.0,0.0
148,2GB,32MB,1,0.7355642568870375,8192MB,4950.311408,6.464,445448.0,0.0
149,2GB,12MB,5,0.833685570995981,16384MB,4928.540935,6.493,443470.0,0.0
