blk_read_time,blk_write_time,checkpoints_req,checkpoints_timed,deadlocks,effective_cache_size,latency average,maintenance_work_mem,max_parallel_workers_per_gather,max_wal_size,number of failed transactions,number of transactions actually processed,random_page_cost,shared_buffers,temp_bytes,tps,trial,wal_buffers,work_mem
0.0,0.0,408.0,1.0,0.0,4096MB,15.32,128MB,7,2048MB,0.0,2497663.0,3.497327922401265,6GB,20040171520.0,4164.575712,0,1GB,34MB
0.0,0.0,485.0,1.0,0.0,2048MB,15.279,1GB,7,1024MB,0.0,2504329.0,1.5115723710618747,6GB,20040171520.0,4175.741584,1,128MB,19MB
0.0,0.0,560.0,1.0,0.0,8192MB,14.812,512MB,0,1024MB,0.0,2583128.0,3.9087538832936755,2GB,20040171520.0,4306.704716,2,32MB,34MB
0.0,0.0,583.0,1.0,0.0,8192MB,15.115,512MB,3,3072MB,0.0,2531671.0,3.960660809801552,10GB,20040171520.0,4221.483087,3,512MB,19MB
0.0,0.0,600.0,1.0,0.0,6144MB,14.245,128MB,3,4096MB,0.0,2685450.0,3.6616382277289796,2GB,20040171520.0,4477.748277,4,512MB,4MB
0.0,0.0,618.0,1.0,0.0,4096MB,13.336,1GB,2,4096MB,0.0,2867658.0,3.266653415629146,6GB,20040171520.0,4781.5289,5,1GB,4MB
0.0,0.0,685.0,1.0,0.0,10240MB,13.532,128MB,0,1024MB,0.0,2826360.0,3.4540442977674792,6GB,20040171520.0,4712.768368,6,128MB,4MB
0.0,0.0,750.0,1.0,0.0,8192MB,13.614,1GB,0,1024MB,0.0,2809361.0,1.1106608420635984,6GB,20040171520.0,4684.341459,7,1GB,34MB
0.0,0.0,768.0,1.0,0.0,10240MB,15.817,512MB,0,3072MB,0.0,2419820.0,1.270869310163225,10GB,20040171520.0,4035.018065,8,1GB,19MB
0.0,0.0,830.0,1.0,0.0,4096MB,13.464,512MB,0,1024MB,0.0,2840405.0,3.632018060142943,6GB,20040171520.0,4736.130988,9,128MB,49MB
0.0,0.0,845.0,1.0,0.0,2048MB,13.111,1GB,2,4096MB,0.0,2915890.0,2.6968392720442096,2GB,20040171520.0,4862.650579,10,32MB,49MB
0.0,0.0,860.0,1.0,0.0,2048MB,12.977,1GB,2,4096MB,0.0,2946102.0,2.6753688597721816,2GB,20040171520.0,4912.3914,11,32MB,64MB
0.0,0.0,875.0,1.0,0.0,2048MB,13.022,1GB,2,4096MB,0.0,2934727.0,2.5339342716525692,2GB,20040171520.0,4893.426586,12,32MB,64MB
0.0,0.0,894.0,1.0,0.0,2048MB,13.237,1GB,2,3072MB,0.0,2887848.0,2.066922281593521,2GB,20040171520.0,4815.395387,13,32MB,64MB
0.0,0.0,908.0,1.0,0.0,2048MB,12.938,1GB,1,4096MB,0.0,2956060.0,2.638150621485162,2GB,20040171520.0,4929.307922,14,32MB,64MB
0.0,0.0,937.0,1.0,0.0,4096MB,12.798,1GB,1,2048MB,0.0,2990884.0,3.039753550237465,2GB,20040171520.0,4986.75377,15,32MB,64MB
0.0,0.0,966.0,1.0,0.0,6144MB,12.759,1GB,1,2048MB,0.0,2999886.0,3.0116354278146598,2GB,20040171520.0,5001.775206,16,32MB,49MB
0.0,0.0,996.0,1.0,0.0,6144MB,12.654,1GB,1,2048MB,0.0,3024674.0,2.986518955508374,2GB,20040171520.0,5043.168582,17,32MB,49MB
0.0,0.0,1026.0,1.0,0.0,6144MB,12.445,1GB,1,2048MB,0.0,3075169.0,2.1320324540416062,10GB,20040171520.0,5127.14541,18,32MB,49MB
0.0,0.0,1054.0,1.0,0.0,6144MB,13.298,128MB,1,2048MB,0.0,2878951.0,1.7946710524248304,10GB,20040171520.0,4800.138721,19,512MB,49MB
0.0,0.0,1084.0,1.0,0.0,8192MB,12.381,1GB,1,2048MB,0.0,3091205.0,2.014077775247451,10GB,20040171520.0,5154.030921,20,32MB,49MB
0.0,0.0,1114.0,1.0,0.0,8192MB,12.419,1GB,1,2048MB,0.0,3081554.0,2.2248085212021227,10GB,20040171520.0,5137.88604,21,32MB,49MB
0.0,0.0,1143.0,1.0,0.0,8192MB,12.379,1GB,1,2048MB,0.0,3091597.0,2.11128236222026,10GB,20040171520.0,5154.611459,22,32MB,49MB
0.0,0.0,1163.0,1.0,0.0,8192MB,12.192,1GB,1,3072MB,0.0,3138804.0,2.2573390663008355,10GB,20040171520.0,5233.412274,23,32MB,34MB
0.0,0.0,1183.0,1.0,0.0,10240MB,12.206,1GB,1,3072MB,0.0,3135262.0,1.8673403802654052,10GB,20040171520.0,5227.501338,24,32MB,34MB
0.0,0.0,1203.0,1.0,0.0,10240MB,12.204,1GB,1,3072MB,0.0,3135818.0,1.6563964665314543,10GB,20040171520.0,5228.165639,25,32MB,34MB
0.0,0.0,1223.0,1.0,0.0,10240MB,12.21,1GB,1,3072MB,0.0,3134318.0,1.5732052217567822,10GB,20040171520.0,5225.862348,26,32MB,34MB
0.0,0.0,1243.0,1.0,0.0,10240MB,12.211,1GB,1,3072MB,0.0,3133971.0,1.7204289687664538,10GB,20040171520.0,5225.163891,27,128MB,19MB
0.0,0.0,1261.0,1.0,0.0,10240MB,13.264,512MB,3,3072MB,0.0,2886531.0,1.3996846446870261,10GB,20040171520.0,4812.708407,28,512MB,34MB
0.0,0.0,1278.0,1.0,0.0,10240MB,14.813,128MB,7,3072MB,0.0,2585729.0,2.358977775247525,10GB,20040171520.0,4311.328488,29,1GB,34MB
0.0,0.0,1298.0,1.0,0.0,10240MB,12.171,128MB,7,3072MB,0.0,3144378.0,1.8633641350061008,10GB,20040171520.0,5242.536378,30,32MB,19MB
0.0,0.0,1318.0,1.0,0.0,10240MB,12.125,128MB,7,3072MB,0.0,3156083.0,1.8703619954396213,10GB,20040171520.0,5262.042403,31,32MB,19MB
0.0,0.0,1338.0,1.0,0.0,10240MB,12.144,128MB,7,3072MB,0.0,3151095.0,1.675960722586379,10GB,20040171520.0,5254.075058,32,32MB,19MB
